a art
abandon v
ability n
able a
abnormal adj
aboard prep
above prep
abroad adv
absence n
absent a
absolute a
absolutely ad
absorb v
abstract adj
abundant adj
abuse v
academic a
academy n
accelerate v
acceleration n
accent n
accept v
acceptable a
acceptance n
access n
accessory n
accident n
accidental a
accommodate v
accommodation n
accompany v
accomplish v
accord n
accordance n
accordingly ad
account n
accumulate v
accuracy n
accurate a
accuse v
accustom v
accustomed a
ache v
achieve v
achievement n
acid n
acquaintance n
acquire v
acre n
across prep
act n
action n
activity n
actor n
actress n
actual a
actually adv
acute adj
ad abbr
adapt v
add v
addition n
additional a
address n
adequate 
adjective n
adjust v
administration n
admire v
admission n
admit v
adopt v
adult a
advance v
advantage n
adventure n
adverb n
advertisement n
advice n
advisable a
advise v
aeroplane n
affair n
affect v
affection n
afford 
afraid adj
Africa n
African a
after prep
afternoon n
afterward ad
again 
against prep
age n
agency n
agent 
aggressive a
ago ad
agony n
agree v
agreement n
agriculture n
ahead ad
aid n
aim v
air n
aircraft n
airline n
airplane n
airport n
alarm 
alcohol n
alike a
alive adj
All a
allow v
alloy n
almost ad
alone adj
along prep
aloud adv
alphabet n
already adv
also ad
alter v
alternative a
although conj
altitude n
altogether adv
aluminium n
always ad
amaze adj
ambition n
ambulance n
America n
American n
among prep
amongst prep
amount v
ampere n
amplify v
amuse v
analyse v
analysis n
ancestor n
anchor n
ancient 
angel n
anger n
angle n
angry adj
animal n
ankle n
announce v
announcer n
annoy v
annual adj
another adj
answer n
ant n
anticipate v
anxiety n
anxious a
any a
anybody pron
anyhow ad
anyone pron
anything pron
anyway ad
anywhere ad
apart ad
apartment n
apologize v
apology n
apparatus n
apparent adj
appeal n
appear v
appetite n
apple n
appliance n
applicable adj
appoint v
appointment n
appreciate v
approach v
appropriate adj
approval n
approve 
approximate a
approximately ad
Arabian a
arbitrary a
architecture n
argue v
argument n
arise v
arithmetic n
arm n
army n
arouse v
arrangement n
arrest v
arrival n
arrive v
article n
artificial a
artist n
artistic a
ash n
ashamed adj
Asia n
Asian n
aside adv
ask v
asleep a
aspect n
assemble v
assembly n
assess v
assign v
assignment n
assist v
assistant n
associate adj
association n
assume v
assure v
astonish v
astronaut n
at prep
athlete n
Atlantic n
atmosphere n
atmospheric adj
atom n
atomic a
attack n
attain v
attempt v
attend v
attention n
attentive adj
attitude n
attract v
attraction n
attractive a
attribute v
audience n
aunt n
aural a
Australia n
Australian a
authority n
automatic adj
automation n
automobile n
autumn n
auxiliary adj
available adj
avenue n
average n
aviation n
avoid 
await v
awake v
award n
aware a
away ad
awful a
awfully ad
awkward adj
ax n
baby n
background n
bacteria n
bad a
badly adv
badminton n
bag n
baggage n
bake 
balance n
ball n
balloon n
banana n
band 
bang n
bank n
banner n
barber n
bare adj
bargain n
bark v
barn n
barrel n
barrier n
base n
basic a
basically ad
basin n
basis n
basket n
basketball n
bat n
bath n
bathe v
bathroom n
battery n
battle n
bay n
be v
beach n
beam n
bean n
bear v
beard n
beast n
beat n
beautiful adj
beauty n
because conj
become link-v
bed n
1
bee n
beef n
beer n
beg v
beggar n
begin v
beginner n
beginning 
behalf n
behave v
behavior n
behind prep
being n
belief n
believe v
bell n
belong v
beloved a
below prep
belt n
bench n
bend v
beneath prep
beneficial a
benefit n
berry n
beside prep
besides ad
best adj
bet v
betray v
better adj
between prep
beyond prep
Bible n
bicycle n
big adj
bike n
bill n
billion n
bind v
biology n
bird n
birth n
birthday n
biscuit n
bit n
bite v
bitter adj
bitterly adv
black adj
blackboard n
blade n
blame v
blank a
blanket n
blast v
blaze n
bleed v
blend v
bless v
blind adj
block n
blood n
bloom n
blossom n
blow v
blue a
board n
boast v
boat n
body n
boil n
bold a
bolt n
bomb n
bond n
bone n
boot n
booth n
border n
bore v
born a
borrow v
bosom n
both adj
bother v
bottle n
bottom n
bough n
bounce v
bound v
boundary 
bow n
bowl n
box n
boy n
brain n
brake n
branch v
brand n
brandy n
brass n
brave adj
bread n
breadth n
break v
breakfast n
breast n
breath n
breathe v
breed v
breeze n
brick n
bridge n
brief a
bright 
brighten v
brilliant a
brim n
bring v
brisk a
bristle n
Britain n
British a
brittle a
broad adj
broadcast v
broken a
bronze n
brood v
brook n
broom n
brother n
brow n
brown n
bruise v
brush n
brute n
bubble n
bucket n
bud n
build v
building n
bulb n
bulk n
bull n
bullet n
bunch n
bundle n
burden n
bureau n
burn v
burst v
bury v
bus n
bush n
business n
busy a
but conj
butcher n
butter n
butterfly n
button n
buy v
by prep
cabbage n
cabin n
cabinet n
cable n
cafe n
cafeteria 
cage n
cake n
calculation n
call v
calm n
camel n
camp n
campaign n
campus n
can aux
Canada n
Canadian a
canal n
cancel v
cancer n
candidate n
candle n
candy n
cannon n
canoe n
canteen n
canvas n
cap n
capable adj
capacity n
capital n
captain n
captive n
capture v
car n
carbon n
card n
care n
career n
careful a
careless a
cargo n
carpenter n
carpet n
carriage n
carrier n
carrot n
carry v
cart n
carve v
case n
cash n
cassette n
cast v
castle n
casual adj
catalog n
catch v
cathedral n
cattle n
cause n
cave n
cease v
celebrate v
cell n
cellar n
cement n
cent n
centigrade a
centimetre n
central adj
centre n
ceremony n
certain adj
certainly ad
certainty n
certificate 
chain n
chair n
chairman n
chalk n
challenge v
chamber n
champion n
chance n
change n
channel n
chapter n
character n
characteristic a
charge n
charity n
charming adj
chart n
chase v
cheap adj
cheat v
check n
cheek n
cheer n
cheerful a
cheese n
chemical adj
chemist n
chemistry n
cheque n
cherry n
chess n
chest n
chew v
chicken n
chief n
child n
childhood n
childish adj
chill v
chimney n
chin n
china n
Chinese n
chocolate n
choice n
choke v
choose v
chop v
Christian n
Christmas n
church n
cigarette n
cinema n
circle n
circuit n
circular adj
circulate v
circumference n
circumstance 
citizen 
city n
civil a
civilization n
civilize v
claim v
clap n
clarify v
clasp n
class n
classical a
classification n
classify v
classmate n
classroom n
claw n
clay n
clean a
clear adj
clearly ad
clerk n
clever 
cliff n
climate n
climb v
cloak n
clock n
close v
closely ad
cloth n
clothe v
clothes n
clothing n
cloud n
cloudy a
club n
clue n
clumsy 
coach 
coal n
coarse 
coast n
coat n
cock n
code n
coffee n
coil n
coin n
cold a
collapse v
collar n
colleague n
collect v
collection n
collective a
college n
collision n
colonel n
colony n
color 【美】=colour
column n
comb n
combine v
come v
comfort n
comfortable a
command n
commander n
comment n
commerce n
commercial a
commission n
commit v
committee n
common adj
commonly ad
communicate v
communication n
communism n
communist n
community n
companion n
company n
comparative a
compare v
comparison n
compass n
compel v
compete v
competent a
competition n
compile v
complain v
complaint 
complete a
completely adv
complex a
complicate v
complicated a
component n
composition n
compound n
comprehension n
comprehensive a
compress v
comprise v
compromise n
compute v
computer n
comrade n
conceal v
concentrate v
concentration n
concept n
concern n
concerning prep
concert n
conclude v
concrete n
condemn v
condense v
condition n
conduct n
conductor n
conference n
confess 
confidence n
confident a
confine v
conflict n
confuse v
confusion n
congratulate v
congratulation n
congress n
conjunction n
connect v
connection n
conquer v
conquest n
conscience n
conscious a
consciousness n
consent v
consequence n
consequently ad
conservation n
conservative a
consider v
considerable a
considerate a
consideration n
consist v
consistent adj
constant a
constitution n
construct v
construction n
consult v
consume v
consumption n
contact n
contain v
container n
contemporary adj
contempt n
contest n
continent n
continual a
continue v
contract n
contradiction n
contrary adj
contrast n
contribute v
control n
convenience n
convenient adj
convention n
conventional a
conversation n
conversely ad
conversion n
convey v
convince v
cook v
cool n
cooperate v
coordinate v
cope v
copper n
copy n
cord n
cordial a
core n
corn n
corporation n
correct a
correction n
correspond v
correspondent n
corresponding adj
corridor n
cost v
costly a
cottage n
cotton n
cough n
could modal
council n
count v
counter n
country n
countryside n
county n
couple n
courage n
course 
court n
cousin n
cover v
cow n
coward n
crack v
craft n
crane n
crash n
crawl v
crazy adj
cream n
creative a
creature n
credit n
creep n
crew n
cricket n
crime n
criminal adj
cripple v
crisis n
critic n
critical a
criticism n
criticize v
crop 
cross n
crow n
crowd n
crown n
crude adj
cruel a
crush v
crust n
cry v
crystal n
cube n
cubic a
cucumber n
cultivate 
culture n
cunning adj
cup n
cupboard n
cure n
curiosity n
curious a
curl v
curse 
curtain n
curve n
cushion n
custom n
customer 
cut v
cycle n
daily a
dairy n
dam n
damage n
damp a
dance v
danger n
dangerous adj
dare aux
daring a
dark a
darling n
dash n
data n
date n
daughter n
dawn n
day n
daylight n
dead a
deadly a
deaf adj
deal v
dear adj
death n
debate n
debt n
decade n
decay v
deceit n
deceive v
decent a
decide v
decision n
deck n
declare v
decorate v
decrease v
deduce v
deed n
deep 
deepen 
deer n
defeat v
defect n
defence n
